Department,Job_Title,Total_Employees,Avg_Years_experience,Total_Payroll_Budget_USD,Average_Salary_USD
Engineering,Data Analyst,617,8.011345218800649,63704197.0105641,103248.293372065
Engineering,Manager,113,7.522123893805309,11507590.514944993,101837.08420305303
Engineering,Project Manager,232,6.900862068965517,24985982.86137265,107698.20198867521
Engineering,Software Engineer,1148,8.27787456445993,120273296.13544935,104767.67956049595
Finance,Data Analyst,282,7.407801418439717,30660312.29465,108724.51168315603
Finance,Manager,59,8.542372881355933,5720740.597638848,96961.70504472624
Finance,Project Manager,95,8.294736842105262,10727383.575100828,112919.8271063245
Finance,Software Engineer,540,7.912962962962963,56123084.6232681,103931.63819123722
Human Resources,Data Analyst,202,7.50990099009901,22235505.333418578,110076.75907632959
Human Resources,Manager,45,6.511111111111111,5183067.066814832,115179.26815144072
Human Resources,Project Manager,86,9.104651162790697,9635043.46326872,112035.38910777582
Human Resources,Software Engineer,405,8.118518518518519,43876659.40245961,108337.43062335705
Marketing,Data Analyst,300,8.496666666666666,32086776.049447972,106955.92016482657
Marketing,Manager,52,10.115384615384615,5509599.358352193,105953.83381446524
Marketing,Project Manager,104,8.134615384615385,10650641.684974743,102410.01620168022
Marketing,Software Engineer,534,8.353932584269662,55422143.15264121,103786.7849300397
