Employee_ID,Job_Title,Department,Years_Experience,Performance_Tier,Annual_Salary_USD
EMP-73557,,Human Resources,,Level-2 (Medium),
EMP-64437,Software Engineer,Engineering,1.0,Level-2 (Medium),99235.38010897319
EMP-71645,software engineer,Human Resources,8.0,Level-1 (Low),66499.93014682777
EMP-41224,Data Analyst,Engineering,1.0,Level-3 (High),119594.65240292916
EMP-81636,SOFTWARE ENGINEER,Engineering,-2.0,Level-2 (Medium),90620.80955886695
EMP-61559,Software Engineer,Human Resources,35.0,Level-3 (High),112596.49242231472
EMP-32152,UNKNOWN,Engineering,3.0,Level-2 (Medium),166660.8163559251
EMP-96522,,Engineering,3.0,Level-1 (Low),
EMP-29667,Data Analyst,Human Resources,3.0,Level-1 (Low),35148.34836384198
EMP-35961,software engineer,Human Resources,3.0,Level-2 (Medium),64939.535497400146
EMP-94354,data analyst,Finance,5.0,Level-2 (Medium),180375.4981842439
EMP-67972,Software Engineer,Marketing,,Level-3 (High),83650.44654859942
EMP-95739,Data Analyst,Human Resources,5.0,Level-1 (Low),155665.12868807773
EMP-43732,Software Engineer,Engineering,5.0,Level-2 (Medium),90421.58845919603
EMP-60832,Software Engineer,Engineering,8.0,Level-2 (Medium),35645.0582280738
EMP-40581,SOFTWARE ENGINEER,Finance,5.0,Level-2 (Medium),31048.509001312254
EMP-77829,Project Manager,Marketing,-2.0,Level-2 (Medium),37229.57682685424
EMP-64338,,Engineering,,Level-2 (Medium),
EMP-12162,Software Engineer,Engineering,1.0,Level-3 (High),55797.69671426087
EMP-90549,data analyst,Finance,3.0,Level-3 (High),58806.27692834423
EMP-25297,SOFTWARE ENGINEER,Engineering,5.0,Level-3 (High),123557.21336385295
EMP-97952,SOFTWARE ENGINEER,Marketing,12.0,Level-3 (High),89154.38557417659
EMP-95557,  Manager  ,Human Resources,5.0,Level-2 (Medium),104557.77444628962
EMP-19051,  Manager  ,Finance,8.0,Level-1 (Low),169943.08656879145
EMP-26184,data analyst,Human Resources,3.0,Level-2 (Medium),110278.71292900683
EMP-31199,Data Analyst,Finance,1.0,Level-1 (Low),86091.50449605071
EMP-38380,Software Engineer,Engineering,3.0,Level-3 (High),114214.56337980417
EMP-26499,Software Engineer,Engineering,99.0,Level-2 (Medium),67514.27833939547
EMP-53743,,Engineering,8.0,Level-2 (Medium),
EMP-53104,software engineer,Marketing,3.0,Level-3 (High),148407.16044899105
EMP-31215,,Engineering,,Level-2 (Medium),
EMP-46594,data analyst,Finance,12.0,Level-2 (Medium),133975.27362524188
EMP-84880,Data Analyst,Finance,3.0,Level-1 (Low),170479.56699273438
EMP-13949,UNKNOWN,Finance,5.0,MISSING,32266.23529612173
EMP-24337,Data Analyst,Marketing,5.0,Level-1 (Low),119300.6776867281
EMP-43043,,Engineering,1.0,Level-2 (Medium),
EMP-14422,SOFTWARE ENGINEER,Human Resources,8.0,Level-3 (High),159014.95321643818
EMP-92831,SOFTWARE ENGINEER,Finance,5.0,Level-3 (High),51737.21866552709
EMP-41458,  Manager  ,Finance,35.0,Level-3 (High),179686.02867014377
EMP-68846,data analyst,Engineering,5.0,Level-3 (High),36688.50297147175
EMP-57978,software engineer,Engineering,8.0,Level-3 (High),81569.88420958852
EMP-27290,UNKNOWN,Engineering,35.0,Level-3 (High),163756.46783068957
EMP-29126,Project Manager,Engineering,5.0,Level-1 (Low),110171.36937316357
EMP-37467,  Manager  ,Human Resources,5.0,Level-3 (High),122744.43972784582
EMP-45443,Software Engineer,Marketing,5.0,Level-3 (High),47180.99810925205
EMP-38145,Project Manager,Engineering,,Level-3 (High),27389.83084902987
EMP-74674,Software Engineer,Engineering,8.0,Level-3 (High),148652.79703882732
EMP-31925,Project Manager,Engineering,,Level-2 (Medium),61148.57544897705
EMP-12393,Data Analyst,Marketing,3.0,Level-2 (Medium),122278.91903848853
EMP-80324,  Manager  ,N/A,5.0,Level-2 (Medium),126664.46573698206
EMP-81297,,Engineering,1.0,Level-1 (Low),
EMP-46270,SOFTWARE ENGINEER,Engineering,5.0,Level-2 (Medium),111472.14441598604
EMP-32971,software engineer,Engineering,35.0,Level-2 (Medium),36061.96202944286
EMP-86909,Project Manager,Engineering,5.0,Level-2 (Medium),78993.93343703091
EMP-53522,data analyst,Engineering,3.0,Level-2 (Medium),50828.599122210086
EMP-31319,data analyst,Finance,12.0,Level-2 (Medium),58864.44509168843
EMP-46530,Project Manager,Finance,12.0,MISSING,27433.525472703248
EMP-42349,Data Analyst,Marketing,8.0,Level-2 (Medium),174272.65162794176
EMP-68729,Data Analyst,Finance,12.0,Level-1 (Low),114101.80022596172
EMP-93902,  Manager  ,Engineering,5.0,Level-3 (High),118926.12195563456
EMP-90970,software engineer,Engineering,3.0,Level-1 (Low),33228.82765184602
EMP-41652,Software Engineer,Engineering,3.0,Level-2 (Medium),67718.03546383069
EMP-59019,software engineer,Human Resources,5.0,MISSING,58102.911578354615
EMP-64892,Software Engineer,Finance,5.0,Level-2 (Medium),42217.522362790536
EMP-17253,  Manager  ,Finance,5.0,Level-2 (Medium),96340.50710804838
EMP-11317,Data Analyst,Engineering,35.0,Level-2 (Medium),112978.17311472534
EMP-62614,UNKNOWN,Finance,1.0,Level-1 (Low),163891.78079954966
EMP-32833,data analyst,Marketing,35.0,Level-2 (Medium),163004.60372825625
EMP-60885,Software Engineer,Engineering,,Level-1 (Low),148535.52906896058
EMP-31624,software engineer,Marketing,,Level-2 (Medium),98929.55917724619
EMP-63394,Software Engineer,Finance,1.0,Level-3 (High),33216.48510067581
EMP-69107,Software Engineer,Engineering,3.0,Level-1 (Low),78821.44509574548
EMP-72390,Data Analyst,Engineering,3.0,Level-3 (High),159587.07343407779
EMP-49764,software engineer,Marketing,12.0,Level-3 (High),58592.057935637706
EMP-77131,software engineer,Human Resources,12.0,Level-1 (Low),85422.59960345546
EMP-19003,Software Engineer,Finance,3.0,Level-1 (Low),46901.858436060094
EMP-62113,Software Engineer,Engineering,35.0,Level-3 (High),117797.68847952706
EMP-23150,SOFTWARE ENGINEER,Finance,12.0,Level-2 (Medium),104981.07407615885
EMP-43850,software engineer,Engineering,8.0,Level-1 (Low),114879.8670215166
EMP-56077,UNKNOWN,Engineering,1.0,Level-1 (Low),112032.68312216437
EMP-77233,SOFTWARE ENGINEER,Finance,1.0,Level-2 (Medium),151179.4338517367
EMP-23874,Project Manager,Engineering,5.0,Level-3 (High),79695.20498367681
EMP-53016,Project Manager,Engineering,35.0,Level-2 (Medium),41002.843858345004
EMP-61793,data analyst,Engineering,-2.0,Level-2 (Medium),66756.24493871193
EMP-46209,SOFTWARE ENGINEER,Finance,3.0,Level-3 (High),166463.92474404373
EMP-83503,Project Manager,Finance,8.0,Level-1 (Low),169201.34679968332
EMP-89321,Data Analyst,Engineering,3.0,Level-2 (Medium),142310.70155786176
EMP-97998,Software Engineer,Human Resources,1.0,Level-1 (Low),106125.50913021395
EMP-87048,data analyst,Human Resources,99.0,Level-3 (High),177143.16210602067
EMP-85301,Software Engineer,Engineering,35.0,Level-2 (Medium),131383.18185907323
EMP-38040,SOFTWARE ENGINEER,Human Resources,1.0,Level-2 (Medium),181756.0168187984
EMP-11254,  Manager  ,Human Resources,12.0,Level-1 (Low),178361.6096013331
EMP-25704,data analyst,Engineering,8.0,MISSING,26554.392689457556
EMP-32872,Software Engineer,Engineering,3.0,Level-1 (Low),107314.46921947069
EMP-68500,Software Engineer,Engineering,5.0,Level-2 (Medium),110986.51939377775
EMP-81964,Data Analyst,Finance,3.0,Level-2 (Medium),32028.0977062872
EMP-86599,data analyst,Engineering,,Level-1 (Low),113470.36122904337
EMP-30369,software engineer,Human Resources,3.0,Level-2 (Medium),83557.54544526563
EMP-29634,software engineer,Human Resources,5.0,MISSING,179599.81828082757
EMP-75296,Data Analyst,Engineering,5.0,Level-2 (Medium),57746.29800811768
EMP-58741,data analyst,Finance,12.0,Level-2 (Medium),123136.19328498334
EMP-16254,SOFTWARE ENGINEER,Finance,5.0,Level-1 (Low),89060.43275151419
EMP-90231,software engineer,Engineering,12.0,Level-3 (High),166018.65532626514
EMP-75041,Data Analyst,Finance,1.0,Level-1 (Low),176114.8243193259
EMP-78543,Project Manager,Engineering,12.0,Level-1 (Low),83611.77297150431
EMP-70805,data analyst,Engineering,12.0,Level-2 (Medium),34855.03191545416
EMP-45391,Data Analyst,Engineering,12.0,Level-1 (Low),63252.08369621292
EMP-23147,software engineer,Finance,5.0,Level-2 (Medium),128325.84037138245
EMP-59103,data analyst,Engineering,3.0,Level-2 (Medium),156582.9976675821
EMP-44658,SOFTWARE ENGINEER,Human Resources,8.0,Level-3 (High),155297.89472156262
EMP-17036,software engineer,Human Resources,5.0,Level-1 (Low),177933.76033962765
EMP-53066,Software Engineer,Finance,3.0,Level-2 (Medium),175470.3087083476
EMP-24614,Software Engineer,Engineering,3.0,Level-1 (Low),69991.20998754367
EMP-62338,software engineer,Finance,1.0,Level-2 (Medium),78034.90685329205
EMP-95712,Software Engineer,Marketing,5.0,Level-2 (Medium),119858.93576168812
EMP-61266,UNKNOWN,Human Resources,,Level-2 (Medium),142603.7727697698
EMP-43712,software engineer,Engineering,8.0,Level-3 (High),157069.89559388155
EMP-76497,software engineer,Finance,3.0,Level-2 (Medium),174035.50448307232
EMP-48116,SOFTWARE ENGINEER,Engineering,5.0,Level-3 (High),65862.21309158356
EMP-84237,software engineer,N/A,3.0,MISSING,172910.77816034624
EMP-95284,data analyst,Engineering,1.0,Level-2 (Medium),37140.57195626202
EMP-54879,Software Engineer,Engineering,5.0,Level-3 (High),138193.61713202822
EMP-40853,Data Analyst,Human Resources,1.0,Level-3 (High),151141.10185321374
EMP-73633,software engineer,Engineering,1.0,Level-1 (Low),124814.18089765363
EMP-18663,software engineer,Engineering,5.0,Level-1 (Low),171828.02833750276
EMP-59360,  Manager  ,Engineering,5.0,Level-1 (Low),169922.54958487995
EMP-95645,Software Engineer,Engineering,35.0,Level-3 (High),118425.38894323661
EMP-72151,Project Manager,N/A,8.0,Level-2 (Medium),175591.12261355735
EMP-14341,Software Engineer,Marketing,8.0,Level-2 (Medium),112047.5646978134
EMP-33250,Software Engineer,Marketing,1.0,Level-2 (Medium),136350.7379646055
EMP-86561,software engineer,Human Resources,8.0,Level-2 (Medium),167124.6827553561
EMP-42864,SOFTWARE ENGINEER,Marketing,1.0,Level-1 (Low),79582.31080025824
EMP-12620,Software Engineer,Engineering,,Level-1 (Low),131019.56504818882
EMP-26313,SOFTWARE ENGINEER,Human Resources,3.0,Level-1 (Low),51275.4102729707
EMP-70548,SOFTWARE ENGINEER,Human Resources,1.0,Level-2 (Medium),154541.4864664053
EMP-95875,SOFTWARE ENGINEER,Engineering,1.0,Level-2 (Medium),163645.70208878347
EMP-12391,UNKNOWN,Human Resources,12.0,Level-3 (High),65071.074216634595
EMP-21673,SOFTWARE ENGINEER,Marketing,8.0,Level-1 (Low),163032.16440355752
EMP-91173,Software Engineer,Engineering,5.0,Level-3 (High),26256.495478567602
EMP-80650,Data Analyst,Marketing,8.0,Level-3 (High),119485.30389034508
EMP-58967,Software Engineer,Engineering,12.0,Level-3 (High),44916.96916764155
EMP-66525,Data Analyst,N/A,35.0,Level-1 (Low),63331.98018915526
EMP-26150,Data Analyst,Marketing,5.0,Level-3 (High),139795.17125707044
EMP-39284,,Marketing,3.0,Level-2 (Medium),
EMP-91021,SOFTWARE ENGINEER,Human Resources,8.0,Level-1 (Low),97240.23348605371
EMP-74358,  Manager  ,Marketing,12.0,Level-1 (Low),183675.82486245182
EMP-68363,Software Engineer,Engineering,3.0,Level-2 (Medium),55123.99498689348
EMP-92457,software engineer,Human Resources,5.0,MISSING,156442.17556759348
EMP-92884,Data Analyst,Marketing,-2.0,Level-3 (High),135925.02400713874
EMP-67263,  Manager  ,Finance,1.0,Level-2 (Medium),147052.7213696338
EMP-34337,software engineer,Human Resources,8.0,Level-2 (Medium),85520.58118555837
EMP-73553,software engineer,Engineering,1.0,Level-2 (Medium),175846.7085821635
EMP-70121,Data Analyst,Engineering,1.0,Level-2 (Medium),54763.52929689352
EMP-60320,software engineer,Finance,1.0,Level-1 (Low),69641.91604716732
EMP-40257,Project Manager,Human Resources,99.0,Level-3 (High),183745.37485807552
EMP-31817,UNKNOWN,Finance,1.0,Level-1 (Low),155847.22947859336
EMP-28655,Project Manager,Human Resources,12.0,Level-1 (Low),80860.94456764415
EMP-61194,Data Analyst,Human Resources,3.0,Level-3 (High),60523.893977082196
EMP-25958,  Manager  ,Human Resources,1.0,Level-1 (Low),157102.26515886947
EMP-26870,Software Engineer,Engineering,5.0,Level-3 (High),83903.91433248311
EMP-86274,,N/A,1.0,Level-3 (High),
EMP-95552,Software Engineer,Marketing,99.0,Level-2 (Medium),104952.07215601718
EMP-80348,software engineer,Engineering,3.0,Level-1 (Low),52642.85394345412
EMP-67313,software engineer,Finance,3.0,Level-2 (Medium),26910.195835874725
EMP-53209,Project Manager,Human Resources,12.0,Level-2 (Medium),135844.05221310438
EMP-74663,Data Analyst,Engineering,,MISSING,150276.77301869576
EMP-29958,data analyst,Human Resources,35.0,Level-3 (High),70370.30463922168
EMP-29813,  Manager  ,Human Resources,8.0,Level-2 (Medium),147445.241847341
EMP-96557,data analyst,Engineering,99.0,Level-2 (Medium),65302.644681289145
EMP-36806,UNKNOWN,Finance,,Level-1 (Low),164036.76011861456
EMP-78034,SOFTWARE ENGINEER,Engineering,5.0,Level-2 (Medium),165536.81719954908
EMP-17987,Software Engineer,N/A,5.0,Level-1 (Low),82654.37436643757
EMP-59517,Data Analyst,Engineering,5.0,Level-3 (High),71983.1288488023
EMP-49962,Software Engineer,Finance,1.0,Level-2 (Medium),153074.30919659307
EMP-16395,SOFTWARE ENGINEER,Finance,8.0,Level-2 (Medium),72442.80662214616
EMP-98168,SOFTWARE ENGINEER,Human Resources,8.0,Level-1 (Low),35244.58838231997
EMP-66094,software engineer,Human Resources,5.0,Level-2 (Medium),164787.7824820842
EMP-66003,Data Analyst,Engineering,5.0,Level-1 (Low),43437.20352277416
EMP-97199,  Manager  ,N/A,5.0,Level-2 (Medium),174302.80910321858
EMP-39110,software engineer,Finance,5.0,Level-2 (Medium),51825.967825813976
EMP-62894,software engineer,Engineering,12.0,Level-3 (High),115867.30851606144
EMP-78025,Software Engineer,Marketing,8.0,Level-2 (Medium),57686.36118218154
EMP-23185,data analyst,Finance,3.0,Level-1 (Low),71382.03362157877
EMP-30109,SOFTWARE ENGINEER,Engineering,5.0,Level-2 (Medium),79356.16772007736
EMP-21109,Software Engineer,Engineering,35.0,Level-1 (Low),89602.86933881068
EMP-94767,Project Manager,Marketing,1.0,Level-1 (Low),27511.60098116124
EMP-71800,Data Analyst,Marketing,5.0,Level-2 (Medium),159958.78901265896
EMP-54918,Project Manager,N/A,3.0,Level-2 (Medium),170306.26300496535
EMP-93196,software engineer,Engineering,-2.0,Level-1 (Low),119597.48672389556
EMP-39999,UNKNOWN,Engineering,5.0,Level-2 (Medium),31867.736968499277
EMP-83190,Software Engineer,Marketing,-2.0,Level-2 (Medium),82107.39099589498
EMP-23346,Data Analyst,Engineering,99.0,Level-3 (High),70112.5850093568
EMP-45148,Project Manager,Engineering,-2.0,Level-2 (Medium),32035.6794717412
EMP-97547,Data Analyst,Engineering,8.0,Level-1 (Low),32932.12979253543
EMP-76651,software engineer,Human Resources,1.0,Level-2 (Medium),106224.51134613181
EMP-62713,software engineer,Engineering,35.0,Level-3 (High),148730.59992955695
EMP-70437,Data Analyst,Engineering,5.0,Level-1 (Low),84141.77902814161
EMP-96591,SOFTWARE ENGINEER,Human Resources,1.0,Level-2 (Medium),62111.39170142966
EMP-91015,Project Manager,Marketing,5.0,Level-2 (Medium),159733.28282677755
EMP-39955,Software Engineer,Human Resources,3.0,Level-3 (High),179776.66896674276
EMP-53582,  Manager  ,Human Resources,1.0,Level-2 (Medium),155390.54338152782
EMP-61613,Software Engineer,Marketing,8.0,MISSING,76839.2752516437
EMP-81273,Software Engineer,Human Resources,5.0,Level-2 (Medium),104453.79469393837
EMP-82479,Software Engineer,Finance,35.0,Level-1 (Low),81986.12794791254
EMP-88311,UNKNOWN,Engineering,12.0,Level-1 (Low),139446.12116976536
EMP-20955,software engineer,Engineering,12.0,Level-1 (Low),123277.02478514108
EMP-82222,Project Manager,Engineering,35.0,Level-1 (Low),151181.6348772104
EMP-19203,data analyst,Finance,3.0,Level-3 (High),152146.42059011172
EMP-78070,Software Engineer,Finance,,Level-1 (Low),38950.43584993081
EMP-88009,software engineer,Finance,8.0,Level-2 (Medium),94790.61605709865
EMP-42622,data analyst,Marketing,1.0,Level-1 (Low),150587.61659474386
EMP-39978,Software Engineer,Engineering,1.0,Level-2 (Medium),144016.13372888317
EMP-47683,Data Analyst,Marketing,12.0,Level-3 (High),95132.80943599132
EMP-24620,Software Engineer,Engineering,5.0,Level-2 (Medium),129008.7184725494
EMP-34511,software engineer,Finance,5.0,Level-1 (Low),53795.721170866476
EMP-12718,Software Engineer,Human Resources,-2.0,Level-2 (Medium),116974.07391503079
EMP-34314,software engineer,N/A,99.0,Level-3 (High),52702.47553336296
EMP-51663,data analyst,Engineering,3.0,Level-1 (Low),166413.69715163702
EMP-91050,Software Engineer,Marketing,35.0,Level-3 (High),61614.48048884505
EMP-40989,UNKNOWN,Finance,,Level-3 (High),27784.16604531133
EMP-79731,,Engineering,3.0,Level-3 (High),
EMP-62008,software engineer,Marketing,3.0,Level-3 (High),80735.80043121167
EMP-35565,software engineer,Marketing,3.0,Level-2 (Medium),59156.314455435604
EMP-62964,software engineer,Finance,1.0,Level-1 (Low),39159.60082041732
EMP-89253,Data Analyst,Marketing,12.0,Level-2 (Medium),65464.31580488228
EMP-81916,SOFTWARE ENGINEER,Human Resources,1.0,MISSING,80486.69356633372
EMP-15442,SOFTWARE ENGINEER,Human Resources,5.0,Level-1 (Low),117094.60094995203
EMP-21480,Project Manager,Marketing,5.0,Level-2 (Medium),90722.09980563776
EMP-54050,Project Manager,Engineering,,Level-1 (Low),100409.95089371825
EMP-16050,Software Engineer,Marketing,1.0,Level-2 (Medium),96633.7136762076
EMP-89646,Software Engineer,Finance,1.0,Level-2 (Medium),148628.9008722291
EMP-28631,data analyst,Finance,3.0,MISSING,98200.62545656615
EMP-54044,software engineer,N/A,-2.0,Level-3 (High),143476.2946534821
EMP-53608,Data Analyst,Finance,8.0,Level-3 (High),39900.607497604666
EMP-58602,Data Analyst,Marketing,5.0,Level-1 (Low),107003.66623962807
EMP-30658,Data Analyst,Finance,1.0,MISSING,104676.96300055295
EMP-36216,software engineer,Finance,1.0,Level-1 (Low),38608.27111821044
EMP-65073,Data Analyst,Engineering,1.0,Level-3 (High),58626.72553050917
EMP-35616,software engineer,Engineering,5.0,Level-2 (Medium),119212.03487855822
EMP-11546,Software Engineer,Engineering,12.0,Level-2 (Medium),166271.89841312577
EMP-59704,software engineer,Human Resources,12.0,Level-1 (Low),73430.66634184764
