Internal_Risk_Grade,Loan_Purpose,Active_Accounts,Total_Capital_Exposed_USD,Average_Debt_Ratio,Default_Rate_Percentage,Trigger_Risk_Alerts
CLASS-A,Debt Consolidation,1105,27416972.0,28.59846153846154,13.30316742081448,62
CLASS-A,Home Improvement,645,16271330.0,27.290542635658916,15.038759689922482,32
CLASS-A,Major Purchase,240,6140297.0,29.702916666666667,13.750000000000002,19
CLASS-A,Small Business,364,9109101.0,27.542582417582416,10.164835164835164,18
CLASS-B,Debt Consolidation,851,21469675.0,28.554759106933023,12.338425381903642,50
CLASS-B,Home Improvement,544,13346496.0,27.43639705882353,10.11029411764706,29
CLASS-B,Major Purchase,218,5370910.0,29.04954128440367,10.091743119266056,17
CLASS-B,Small Business,332,8110386.0,27.95632530120482,13.253012048192772,17
CLASS-C,Debt Consolidation,423,10637442.0,28.535224586288415,11.11111111111111,22
CLASS-C,Home Improvement,214,5072519.0,26.516355140186917,6.5420560747663545,7
CLASS-C,Major Purchase,91,2237917.0,28.910989010989013,9.89010989010989,3
CLASS-C,Small Business,157,3992060.0,26.335668789808917,13.375796178343949,9
