Account_ID,Internal_Risk_Grade,Loan_Purpose,Customer_Debt_To_Income_Ratio,Loan_Default_Status,Requested_Amount_Raw
ACC-561057,Class-A,Major Purchase,12.5,0," $28,393.00 "
ACC-132134,,Debt Consolidation,,0," $44,347.00 "
ACC-829882,Class-B,Major Purchase,12.5,0," $44,149.00 "
ACC-129624,Class-A,Home Improvement,12.5,1," $5,720.00 "
ACC-413421,Class-A,Home Improvement,12.5,0," $24,284.00 "
ACC-236733,Class-C,Debt Consolidation,55.0,0," $15,045.00 "
ACC-114964,Class-C,Home Improvement,24.8,0," $13,722.00 "
ACC-279612,Class-B,Home Improvement,24.8,0," $24,848.00 "
ACC-879699,Class-A,N/A,24.8,0," $39,267.00 "
ACC-107167,Class-A,Home Improvement,55.0,0," $16,631.00 "
ACC-233061,Class-B,Small Business,38.2,0," $18,192.00 "
ACC-714348,Class-A,Home Improvement,12.5,0," $40,528.00 "
ACC-362172,Class-C,Debt Consolidation,55.0,0," $17,200.00 "
ACC-504098,Class-B,Debt Consolidation,55.0,0," $15,249.00 "
ACC-514134,Class-C,Debt Consolidation,38.2,0," $43,915.00 "
ACC-721261,Class-A,Debt Consolidation,38.2,0," $15,376.00 "
ACC-256699,Class-A,Home Improvement,38.2,0," $5,765.00 "
ACC-213120,Class-C,Debt Consolidation,12.5,0," $33,034.00 "
ACC-479488,Class-B,Home Improvement,,0," $26,984.00 "
ACC-461607,Class-B,Debt Consolidation,,0," $20,078.00 "
ACC-661775,Class-A,Home Improvement,24.8,1," $8,694.00 "
ACC-395828,,Small Business,,0," $19,848.00 "
ACC-295376,Class-A,Home Improvement,99.9,0," $41,691.00 "
ACC-441017,Class-C,Home Improvement,,0," $7,564.00 "
ACC-144356,Class-C,Small Business,12.5,0," $31,358.00 "
ACC-843024,Class-A,Debt Consolidation,24.8,0," $41,101.00 "
ACC-642524,Class-C,Home Improvement,24.8,0," $12,057.00 "
ACC-270001,Class-B,Small Business,24.8,0," $12,733.00 "
ACC-912794,Class-A,Debt Consolidation,55.0,0," $18,119.00 "
ACC-804713,Class-B,Major Purchase,55.0,0," $36,266.00 "
ACC-774932,Class-A,Home Improvement,12.5,0," $18,435.00 "
ACC-209615,,Home Improvement,,0," $8,577.00 "
ACC-221295,Class-B,N/A,55.0,0," $20,594.00 "
ACC-195645,Class-B,Debt Consolidation,12.5,0," $36,379.00 "
ACC-424244,Class-A,N/A,12.5,0," $41,984.00 "
ACC-102409,Class-C,Major Purchase,24.8,0," $7,456.00 "
ACC-390143,Class-A,Debt Consolidation,,0," $25,521.00 "
ACC-591485,Class-C,Major Purchase,12.5,0," $15,632.00 "
ACC-603734,Class-A,Debt Consolidation,12.5,0," $40,728.00 "
ACC-420761,Class-A,Debt Consolidation,12.5,0," $11,269.00 "
ACC-899016,Class-B,Home Improvement,24.8,0," $16,056.00 "
ACC-502677,Class-B,Debt Consolidation,12.5,0," $14,502.00 "
ACC-560736,Class-C,Home Improvement,12.5,0," $42,232.00 "
ACC-395887,Class-A,Small Business,12.5,1," $7,270.00 "
ACC-867491,Class-B,Debt Consolidation,38.2,0," $28,880.00 "
ACC-184449,Class-A,N/A,38.2,0," $40,291.00 "
ACC-192069,Class-B,Debt Consolidation,24.8,0," $39,584.00 "
ACC-513321,Class-A,Debt Consolidation,38.2,1," $5,557.00 "
ACC-826065,Class-A,Debt Consolidation,55.0,0," $10,217.00 "
ACC-978035,Class-A,N/A,55.0,0," $6,343.00 "
ACC-470914,Class-A,Debt Consolidation,,1," $16,815.00 "
ACC-349048,,Debt Consolidation,,0," $12,447.00 "
ACC-353599,Class-A,Home Improvement,,0," $39,823.00 "
ACC-183255,Class-C,Debt Consolidation,12.5,0," $36,529.00 "
ACC-198563,Class-A,Debt Consolidation,38.2,0," $28,251.00 "
ACC-861929,Class-A,Debt Consolidation,12.5,1," $41,397.00 "
ACC-996294,Class-A,Home Improvement,,0," $13,343.00 "
ACC-428045,Class-C,Home Improvement,24.8,0," $16,528.00 "
ACC-598277,Class-A,Debt Consolidation,12.5,0," $20,522.00 "
ACC-370870,Class-A,Debt Consolidation,55.0,0," $39,334.00 "
ACC-129656,Class-B,Debt Consolidation,38.2,0," $31,922.00 "
ACC-707311,Class-B,Small Business,12.5,0," $31,916.00 "
ACC-751339,Class-A,Debt Consolidation,24.8,0," $42,217.00 "
ACC-517931,Class-C,Major Purchase,55.0,0," $32,713.00 "
ACC-738877,Class-B,Debt Consolidation,12.5,0," $21,711.00 "
ACC-497196,Class-B,Debt Consolidation,12.5,0," $14,326.00 "
ACC-958875,Class-A,Home Improvement,55.0,0," $44,183.00 "
ACC-289966,Class-A,Small Business,24.8,0," $6,099.00 "
ACC-636258,Class-A,Home Improvement,55.0,0," $21,340.00 "
ACC-329140,Class-A,Home Improvement,12.5,0," $34,732.00 "
ACC-271837,Class-B,Debt Consolidation,55.0,0," $38,287.00 "
ACC-410948,Class-C,Debt Consolidation,-1.5,0," $19,930.00 "
ACC-593856,Class-A,Home Improvement,24.8,0," $6,003.00 "
ACC-297332,Class-A,Small Business,24.8,0," $8,153.00 "
ACC-230209,Class-A,Debt Consolidation,12.5,0," $7,082.00 "
ACC-240751,Class-A,Debt Consolidation,24.8,1," $30,384.00 "
ACC-524768,Class-A,Debt Consolidation,24.8,0," $30,023.00 "
ACC-698926,,Debt Consolidation,,0," $15,599.00 "
ACC-348875,Class-B,Small Business,,0," $13,235.00 "
ACC-358382,Class-A,Debt Consolidation,24.8,0," $44,544.00 "
ACC-831388,Class-C,Debt Consolidation,55.0,1," $26,936.00 "
ACC-616574,Class-C,Home Improvement,55.0,0," $16,906.00 "
ACC-198208,Class-C,Small Business,12.5,0," $23,742.00 "
ACC-261779,,Debt Consolidation,,0," $44,961.00 "
ACC-693203,UNKNOWN,Debt Consolidation,55.0,0," $41,242.00 "
ACC-453392,Class-B,Home Improvement,12.5,0," $22,973.00 "
