Item_ID,Food_Category,Item_Brand,Packaging_Type,Weight_Grams,Item_Price_INR,Estimated_Calories
FOOD-8270,Bakery,Fortune,Packet,250.0,277.51063037301196,
FOOD-1860,Vegetables,Fortune,Packet,250.0,607.8813372014569,150.0
FOOD-6390,Dairy,Catch_Spices,Packet,100.0,62.494138720412664,
FOOD-6191,Bakery,Britannia,Box,500.0,227.05666817786474,
FOOD-6734,Vegetables,Amul,Packet,250.0,130.89969642274787,350.0
FOOD-7265,Bakery,Amul,Box,500.0,756.2937502258128,50.0
FOOD-1466,Bakery,Fortune,Bottle,100.0,81.174467902861,150.0
FOOD-5426,Bakery,Amul,Bottle,250.0,608.9650515810428,
FOOD-6578,Vegetables,Britannia,Packet,100.0,508.0361998806445,
FOOD-9322,Vegetables,Fortune,Bottle,100.0,509.9154765300673,50.0
FOOD-2685,Vegetables,Amul,Bottle,1000.0,613.1120914468293,50.0
FOOD-1769,Dairy,Amul,Packet,100.0,326.38549793829685,
FOOD-7949,Bakery,Britannia,Box,100.0,326.5872583478465,
FOOD-3433,Bakery,Catch_Spices,Bottle,1000.0,238.07756796759,
FOOD-6311,Bakery,Amul,Packet,500.0,482.222529139672,50.0
FOOD-6051,Snacks,Catch_Spices,Box,100.0,744.546149167104,150.0
FOOD-7420,Bakery,Britannia,Packet,5000.0,739.9467275188357,50.0
FOOD-2184,Vegetables,Catch_Spices,Bottle,100.0,565.3389310232943,150.0
FOOD-5555,Vegetables,Amul,Bottle,500.0,725.8867591161097,
FOOD-4385,Bakery,Amul,Packet,,771.1798744010571,150.0
FOOD-7396,Vegetables,Fortune,Bottle,500.0,638.1329049722051,
FOOD-9666,Vegetables,Catch_Spices,Bottle,250.0,332.18832986524353,50.0
FOOD-3558,Dairy,Britannia,Bottle,100.0,391.74772340204703,
FOOD-8849,Bakery,Fortune,Packet,500.0,745.6929668755229,50.0
FOOD-3047,Vegetables,Catch_Spices,Packet,500.0,539.3063794670211,150.0
FOOD-3747,Bakery,Amul,Packet,500.0,658.3482293370785,50.0
FOOD-1189,Bakery,Britannia,Loose_Poly,1000.0,101.73008823888006,350.0
FOOD-3734,Dairy,Catch_Spices,Packet,250.0,163.1821179216089,150.0
FOOD-4005,Vegetables,Amul,Bottle,250.0,281.8456891851454,
FOOD-5658,Vegetables,Amul,Box,500.0,158.71011789204647,50.0
FOOD-2899,Bakery,Fortune,Box,500.0,726.1074010747168,350.0
FOOD-8734,Bakery,Amul,Box,250.0,181.34353212800264,
FOOD-2267,Bakery,Amul,Loose_Poly,250.0,450.1751343210919,150.0
FOOD-2528,Dairy,Catch_Spices,Packet,250.0,77.50855741808685,350.0
FOOD-4556,Vegetables,Britannia,Packet,-200.0,0.0,150.0
FOOD-4890,Vegetables,Fortune,Packet,250.0,205.4579566272519,150.0
FOOD-9838,Bakery,Fortune,Packet,100.0,786.485787172665,150.0
FOOD-6393,Vegetables,Amul,Bottle,250.0,639.6803680330905,150.0
FOOD-9792,Vegetables,Amul,Packet,1000.0,542.1084964279595,50.0
FOOD-9433,Dairy,Amul,Box,1000.0,733.8469672413435,
FOOD-8513,Vegetables,Amul,Packet,1000.0,765.4048409004157,150.0
FOOD-3612,Vegetables,Britannia,Packet,1000.0,368.3226022802119,350.0
FOOD-8041,Dairy,Britannia,Bottle,250.0,268.87466505967615,50.0
FOOD-7235,Vegetables,Britannia,Packet,250.0,259.09910821487665,50.0
FOOD-6486,Vegetables,Amul,Box,500.0,38.225990644344336,50.0
FOOD-8099,Bakery,Amul,Loose_Poly,100.0,230.9140940438069,150.0
FOOD-1775,Bakery,Britannia,Box,250.0,290.4863140830577,
FOOD-9226,Vegetables,Britannia,Packet,1000.0,39.15008316449956,150.0
FOOD-4152,Bakery,Amul,Loose_Poly,500.0,707.2578043389277,350.0
FOOD-2585,Dairy,Britannia,Packet,5000.0,679.8068212817975,
FOOD-4943,Dairy,Amul,Box,99999.0,208.68572674817824,350.0
FOOD-8555,Bakery,Amul,Packet,100.0,644.0215312445725,350.0
FOOD-4073,Bakery,Fortune,Packet,1000.0,639.0073844745543,350.0
FOOD-2021,Bakery,Amul,Loose_Poly,100.0,274.6600801906899,50.0
FOOD-4843,Vegetables,Britannia,Packet,500.0,560.6837505185645,50.0
FOOD-8989,Vegetables,Amul,Box,100.0,238.9876920438062,150.0
FOOD-7873,Bakery,Amul,Packet,250.0,65.51822635128295,50.0
FOOD-6675,Dairy,Amul,Box,1000.0,408.7902888038931,
FOOD-1161,Vegetables,Catch_Spices,Loose_Poly,100.0,356.2783622944568,350.0
FOOD-5297,Bakery,Britannia,Bottle,500.0,119.14080247030937,150.0
FOOD-1995,Bakery,Catch_Spices,Bottle,100.0,397.5371362221667,
FOOD-8629,Bakery,Britannia,Bottle,100.0,760.0068391479639,
FOOD-2016,Vegetables,Britannia,Loose_Poly,250.0,587.8005862794129,150.0
