Activity_Date,Workout_Type,Duration_Minutes,Calories_Burned
01/03/2026,Cardio,45.0,699.5763267757565
2026-03-02,Cardio,60.0,394.3171634787882
2026-03-03,Weightlifting,60.0,247.5661729137476
2026-03-04,Weightlifting,60.0,260.4546621906236
2026-03-05,Cardio,,284.26272618326226
06/03/2026,Yoga,75.0,150.71319671966984
2026-03-07,Weightlifting,60.0,286.06901333489475
2026-03-08,Yoga,60.0,708.5876500283397
2026-03-09,Cardio,75.0,593.1111316210784
2026-03-10,Weightlifting,75.0,700.4863205501989
11/03/2026,Cardio,75.0,512.0987766456661
2026-03-12,Weightlifting,45.0,422.65172470838917
2026-03-13,Weightlifting,60.0,338.0873365930658
2026-03-14,Cardio,45.0,378.58912059569735
2026-03-15,Rest_Day,0.0,0.0
16/03/2026,Weightlifting,45.0,633.9195055437347
2026-03-17,Weightlifting,45.0,228.31663554559788
2026-03-18,Cardio,45.0,588.3390761120786
2026-03-19,Cardio,90.0,153.26286910262817
2026-03-20,Weightlifting,60.0,540.3967940023206
21/03/2026,Cardio,75.0,421.82913742227646
2026-03-22,Cardio,90.0,270.3871335079533
2026-03-23,Weightlifting,75.0,528.6773864353097
2026-03-24,Weightlifting,60.0,160.67475509222334
2026-03-25,Weightlifting,90.0,653.130399514356
26/03/2026,Rest_Day,0.0,0.0
2026-03-27,Cardio,45.0,372.56274388188956
2026-03-28,Cardio,75.0,405.4497155253087
2026-03-29,Cardio,75.0,309.0572096252173
2026-03-30,Cardio,60.0,417.84457064946093
31/03/2026,Rest_Day,0.0,0.0
2026-04-01,Yoga,75.0,601.2325140560165
2026-04-02,Weightlifting,75.0,462.5557164879798
2026-04-03,Weightlifting,60.0,427.42953937229186
2026-04-04,Rest_Day,0.0,0.0
05/04/2026,Weightlifting,60.0,523.7038692179483
2026-04-06,Yoga,45.0,581.7716674471412
2026-04-07,Yoga,75.0,420.4415677066528
2026-04-08,Cardio,60.0,560.8664268704174
2026-04-09,Rest_Day,0.0,0.0
10/04/2026,Weightlifting,60.0,239.8828726442351
2026-04-11,Weightlifting,60.0,515.3973059252103
2026-04-12,Cardio,45.0,667.5923303309798
2026-04-13,Yoga,-15.0,156.9723838598257
2026-04-14,Weightlifting,,629.9487812343796
15/04/2026,Weightlifting,60.0,722.0942085637301
2026-04-16,Cardio,60.0,213.108139153457
2026-04-17,Weightlifting,45.0,418.58918742888227
2026-04-18,Cardio,90.0,412.6641501318874
2026-04-19,Cardio,45.0,522.4175942089717
20/04/2026,Cardio,60.0,371.5032357395128
2026-04-21,Cardio,45.0,387.19570922287687
2026-04-22,Weightlifting,75.0,335.14281530585356
2026-04-23,Weightlifting,90.0,505.2493487666192
2026-04-24,Cardio,75.0,260.876795988927
25/04/2026,Weightlifting,45.0,730.4668933208175
2026-04-26,Cardio,90.0,677.7022166218914
2026-04-27,Weightlifting,60.0,221.71197419686362
2026-04-28,Weightlifting,60.0,564.0525225054603
2026-04-29,Weightlifting,90.0,692.4022958332196
30/04/2026,Weightlifting,45.0,512.4774222378385
2026-05-01,Yoga,75.0,444.84465801586725
2026-05-02,Rest_Day,0.0,0.0
2026-05-03,Cardio,90.0,256.21489325446703
2026-05-04,Cardio,45.0,355.2177446738756
05/05/2026,Cardio,60.0,303.3188813840104
2026-05-06,Weightlifting,90.0,289.6070973711312
2026-05-07,Weightlifting,-15.0,606.6701527485147
2026-05-08,Weightlifting,45.0,716.0702303308532
2026-05-09,Cardio,90.0,436.6921535890324
10/05/2026,Yoga,60.0,168.50619927750677
2026-05-11,Cardio,90.0,505.2717024357751
2026-05-12,Cardio,60.0,352.0639215409867
2026-05-13,Weightlifting,45.0,452.4846864021231
2026-05-14,Cardio,60.0,164.24760436042598
15/05/2026,Weightlifting,60.0,336.98182284275805
2026-05-16,Cardio,60.0,664.5338961686409
2026-05-17,Cardio,60.0,393.57407772625345
2026-05-18,Cardio,45.0,495.53341570749126
2026-05-19,Weightlifting,75.0,564.6942372351862
20/05/2026,Cardio,75.0,668.310444263385
2026-05-21,Cardio,90.0,650.1080667311494
2026-05-22,Cardio,45.0,610.8138948842177
2026-05-23,Cardio,60.0,322.0021773572025
2026-05-24,Rest_Day,0.0,0.0
25/05/2026,Weightlifting,45.0,645.5423767034156
2026-05-26,Weightlifting,75.0,492.4452698486191
2026-05-27,Weightlifting,90.0,298.87819271401713
2026-05-28,Weightlifting,90.0,157.52773900433928
2026-05-29,Rest_Day,0.0,0.0
