Session_ID,Device_Used,Search_Query_Raw,Time_On_Page_Sec,Purchase_Made
SESS-203904,Mobile,summer dress,29.781313459209645,0
SESS-339499,Tablet,  shoes leather  ,29.781313459209645,0
SESS-777997,Desktop,  shoes leather  ,29.781313459209645,0
SESS-541633,Tablet,summer dress,29.781313459209645,0
SESS-421502,Mobile,summer dress,29.781313459209645,1
SESS-485156,Desktop,N/A,29.781313459209645,0
SESS-941798,Mobile, leather shoes ,29.781313459209645,0
SESS-606085,Mobile,,29.781313459209645,0
SESS-534246,Mobile, leather shoes ,29.781313459209645,0
SESS-599437,Tablet,  shoes leather  ,29.781313459209645,1
SESS-810751,Tablet, leather shoes ,29.781313459209645,0
SESS-484250,BOT_UNKNOWN,  shoes leather  ,40056.57333111015,0
SESS-265959,Mobile,IPHONE 14,29.781313459209645,0
SESS-108559,Mobile,  shoes leather  ,29.781313459209645,0
SESS-937060,Tablet, leather shoes ,29.781313459209645,0
SESS-512622,Mobile,IPHONE 14,29.781313459209645,0
SESS-553795,Mobile,IPHONE 14,29.781313459209645,0
SESS-198140,Desktop,summer dress,29.781313459209645,1
SESS-968955,Mobile,  shoes leather  ,40056.57333111015,0
SESS-972666,Desktop, leather shoes ,29.781313459209645,0
SESS-910118,Mobile,  shoes leather  ,29.781313459209645,0
SESS-136244,BOT_UNKNOWN,,29.781313459209645,0
SESS-712693,Tablet, leather shoes ,29.781313459209645,0
SESS-230154,Mobile,N/A,29.781313459209645,0
SESS-590409,Desktop,summer dress,29.781313459209645,0
SESS-143328,Mobile,IPHONE 14,29.781313459209645,0
SESS-170654,Desktop,summer dress,29.781313459209645,0
SESS-411803,Tablet,,29.781313459209645,1
SESS-153766,Mobile, leather shoes ,29.781313459209645,0
SESS-144179,Mobile,  shoes leather  ,29.781313459209645,1
SESS-546878,Desktop,  shoes leather  ,29.781313459209645,0
SESS-992009,Mobile, leather shoes ,29.781313459209645,0
SESS-863299,Desktop,N/A,29.781313459209645,0
SESS-793747,Desktop, leather shoes ,29.781313459209645,0
SESS-196282,Desktop,,29.781313459209645,0
SESS-737500,Mobile, leather shoes ,29.781313459209645,0
SESS-460819,Mobile,IPHONE 14,29.781313459209645,0
SESS-288226,Mobile,  shoes leather  ,29.781313459209645,0
SESS-635500,Desktop,,29.781313459209645,0
SESS-887424,Mobile, leather shoes ,29.781313459209645,0
SESS-154083,Desktop,,29.781313459209645,0
SESS-757162,Desktop,summer dress,29.781313459209645,0
SESS-286352,Mobile, leather shoes ,29.781313459209645,0
SESS-122126,Mobile,summer dress,29.781313459209645,0
SESS-458323,BOT_UNKNOWN,IPHONE 14,29.781313459209645,0
SESS-702112,Desktop,  shoes leather  ,29.781313459209645,0
SESS-770813,Mobile,IPHONE 14,29.781313459209645,0
SESS-752509,Mobile,N/A,29.781313459209645,0
SESS-318718,Desktop,summer dress,29.781313459209645,0
SESS-215712,Mobile,IPHONE 14,29.781313459209645,0
SESS-129835,Desktop,summer dress,29.781313459209645,0
SESS-192743,Mobile, leather shoes ,29.781313459209645,0
SESS-157395,Mobile,summer dress,29.781313459209645,0
SESS-433980,Mobile,IPHONE 14,29.781313459209645,0
SESS-777016,Mobile, leather shoes ,29.781313459209645,0
SESS-859899,Tablet,IPHONE 14,40056.57333111015,0
SESS-543566,Desktop, leather shoes ,29.781313459209645,0
SESS-831198,Mobile,IPHONE 14,29.781313459209645,0
SESS-503341,Mobile, leather shoes ,29.781313459209645,1
SESS-530791,Mobile,,29.781313459209645,0
SESS-350404,Mobile,,29.781313459209645,0
SESS-158084,Mobile,summer dress,29.781313459209645,1
SESS-129824,Mobile,summer dress,29.781313459209645,0
SESS-668506,Desktop, leather shoes ,29.781313459209645,1
SESS-678347,Mobile,N/A,29.781313459209645,0
SESS-596320,Desktop,N/A,29.781313459209645,0
SESS-643789,Mobile, leather shoes ,29.781313459209645,0
SESS-771955,Desktop,  shoes leather  ,29.781313459209645,0
SESS-471073,Tablet,IPHONE 14,29.781313459209645,0
SESS-837981,Desktop,summer dress,29.781313459209645,0
SESS-604585,Mobile,,29.781313459209645,1
SESS-812477,Desktop,summer dress,29.781313459209645,0
SESS-759764,Desktop,,29.781313459209645,0
SESS-612427,Desktop,  shoes leather  ,29.781313459209645,1
SESS-509701,Mobile,N/A,29.781313459209645,0
SESS-856055,Mobile,IPHONE 14,29.781313459209645,1
SESS-805824,Mobile,summer dress,29.781313459209645,1
SESS-463283,Mobile, leather shoes ,29.781313459209645,0
SESS-524495,Desktop,summer dress,29.781313459209645,0
SESS-213149,Desktop,summer dress,29.781313459209645,0
SESS-309093,Tablet,IPHONE 14,29.781313459209645,0
SESS-583420,Desktop,IPHONE 14,29.781313459209645,0
SESS-167334,Mobile,,29.781313459209645,0
SESS-649697,Mobile,N/A,29.781313459209645,0
SESS-132932,Mobile,,29.781313459209645,0
SESS-969716,Mobile, leather shoes ,29.781313459209645,0
SESS-238276,Desktop, leather shoes ,29.781313459209645,0
SESS-177100,Tablet, leather shoes ,29.781313459209645,0
SESS-412629,Mobile,IPHONE 14,29.781313459209645,0
SESS-139502,Mobile,N/A,29.781313459209645,0
SESS-911350,Mobile,IPHONE 14,29.781313459209645,0
SESS-652747,Desktop,,29.781313459209645,0
SESS-363443,Desktop,summer dress,29.781313459209645,0
SESS-754560,Tablet,N/A,29.781313459209645,0
SESS-383557,Mobile,IPHONE 14,29.781313459209645,0
SESS-372232,Tablet,,29.781313459209645,1
SESS-995422,Desktop,summer dress,29.781313459209645,0
SESS-216524,Tablet, leather shoes ,29.781313459209645,0
SESS-582475,Mobile,IPHONE 14,29.781313459209645,0
SESS-677827,Mobile, leather shoes ,29.781313459209645,0
SESS-981126,Desktop,IPHONE 14,29.781313459209645,0
SESS-912059,Desktop, leather shoes ,29.781313459209645,0
SESS-289234,Mobile,N/A,29.781313459209645,0
SESS-897498,Mobile,summer dress,29.781313459209645,0
SESS-110744,Mobile,N/A,29.781313459209645,0
SESS-756284,Desktop,summer dress,29.781313459209645,1
SESS-107583,Desktop,summer dress,29.781313459209645,0
SESS-132744,Mobile,,29.781313459209645,0
SESS-155951,Desktop,summer dress,29.781313459209645,0
SESS-286885,Mobile,summer dress,29.781313459209645,1
SESS-371610,Desktop,IPHONE 14,29.781313459209645,0
SESS-582740,Desktop,summer dress,29.781313459209645,0
SESS-323671,Desktop,IPHONE 14,29.781313459209645,0
SESS-270365,Mobile,summer dress,29.781313459209645,0
SESS-326616,Desktop, leather shoes ,29.781313459209645,0
SESS-716516,Mobile, leather shoes ,29.781313459209645,0
SESS-444452,Desktop, leather shoes ,40056.57333111015,0
SESS-390194,Desktop,IPHONE 14,29.781313459209645,0
SESS-610575,Desktop,IPHONE 14,29.781313459209645,0
SESS-339402,Mobile,IPHONE 14,29.781313459209645,0
SESS-237233,Mobile,summer dress,29.781313459209645,0
SESS-166266,Mobile, leather shoes ,29.781313459209645,0
SESS-885864,Mobile,  shoes leather  ,29.781313459209645,0
SESS-807758,Desktop,N/A,29.781313459209645,1
SESS-790955,Desktop,IPHONE 14,29.781313459209645,0
SESS-765755,Mobile, leather shoes ,29.781313459209645,0
SESS-571451,Mobile, leather shoes ,29.781313459209645,0
SESS-945627,Desktop,N/A,29.781313459209645,0
SESS-689319,Mobile,  shoes leather  ,29.781313459209645,1
SESS-755785,Desktop, leather shoes ,29.781313459209645,0
SESS-634465,Mobile,summer dress,29.781313459209645,0
SESS-988483,Mobile, leather shoes ,29.781313459209645,0
SESS-104227,Mobile,IPHONE 14,29.781313459209645,0
SESS-783285,Mobile,IPHONE 14,29.781313459209645,0
SESS-789578,Desktop, leather shoes ,29.781313459209645,1
SESS-395363,Desktop,summer dress,29.781313459209645,0
