Tower_Region,Network_Generation,Total_Hours_Monitors,Average_Download_Speed,Max_Speed_Recorded
Bhubaneswar_DLF,3G,104,173.4348768606366,400.0
Bhubaneswar_DLF,4G,740,175.589025023174,400.0
Bhubaneswar_DLF,5G,1293,173.96503804485943,400.0
Cuttack_LinkRoad,3G,53,177.85174364176672,400.0
Cuttack_LinkRoad,4G,360,171.4623924662279,400.0
Cuttack_LinkRoad,5G,691,171.87593590070702,400.0
Rourkela_Sector-5,3G,142,179.10742493998387,400.0
Rourkela_Sector-5,4G,1000,175.06659058221695,400.0
Rourkela_Sector-5,5G,1673,173.88208813543193,400.0
Sambalpur_Town,3G,55,174.5404013600429,400.0
Sambalpur_Town,4G,332,173.01147716730873,400.0
Sambalpur_Town,5G,620,173.9815097719362,400.0
