Log_ID,Tower_Region,Network_Generation,Download_Speed_Mbps,Server_Crash_Flag
LOG-221958 ,Rourkela_Sector-5,4G,173.57966178872377,False
LOG-771155 ,Bhubaneswar_DLF,4G,173.57966178872377,False
LOG-231932 ,Rourkela_Sector-5,4G,173.57966178872377,False
LOG-465838 ,Rourkela_Sector-5,4G,173.57966178872377,False
LOG-359178 ,Cuttack_LinkRoad,4G,173.57966178872377,False
LOG-744167 ,Rourkela_Sector-5,5G,173.57966178872377,False
LOG-210268 ,Bhubaneswar_DLF,5G,173.57966178872377,False
LOG-832180 ,Rourkela_Sector-5,5G,173.57966178872377,False
LOG-154886 ,Sambalpur_Town,5G,173.57966178872377,False
LOG-237337 ,Sambalpur_Town,5G,173.57966178872377,False
LOG-621430 ,Sambalpur_Town,5G,173.57966178872377,False
LOG-187498 ,Rourkela_Sector-5,4G,173.57966178872377,False
LOG-999159 ,Rourkela_Sector-5,5G,173.57966178872377,False
LOG-275203 ,Bhubaneswar_DLF,5G,173.57966178872377,False
LOG-291335 ,Rourkela_Sector-5,5G,173.57966178872377,False
LOG-378167 ,Rourkela_Sector-5,4G,173.57966178872377,False
LOG-141090 ,Bhubaneswar_DLF,5G,173.57966178872377,False
LOG-429365 ,Bhubaneswar_DLF,5G,173.57966178872377,False
LOG-164820 ,Sambalpur_Town,5G,173.57966178872377,False
LOG-887201 ,Rourkela_Sector-5,4G,173.57966178872377,False
LOG-421879 ,Rourkela_Sector-5,3G,173.57966178872377,False
LOG-818315 ,Rourkela_Sector-5,3G,173.57966178872377,True
LOG-427069 ,Sambalpur_Town,5G,173.57966178872377,False
LOG-876997 ,Cuttack_LinkRoad,4G,173.57966178872377,True
LOG-299041 ,Cuttack_LinkRoad,5G,173.57966178872377,False
LOG-891743 ,Sambalpur_Town,5G,173.57966178872377,False
LOG-203355 ,Bhubaneswar_DLF,5G,173.57966178872377,False
LOG-335796 ,Bhubaneswar_DLF,5G,173.57966178872377,False
LOG-314176 ,Rourkela_Sector-5,4G,173.57966178872377,False
LOG-284779 ,Bhubaneswar_DLF,5G,173.57966178872377,False
LOG-447449 ,Bhubaneswar_DLF,5G,173.57966178872377,False
LOG-521909 ,Bhubaneswar_DLF,5G,173.57966178872377,False
LOG-358795 ,Sambalpur_Town,5G,173.57966178872377,False
LOG-586232 ,Sambalpur_Town,4G,173.57966178872377,False
LOG-600186 ,Cuttack_LinkRoad,4G,173.57966178872377,False
LOG-256730 ,Cuttack_LinkRoad,4G,173.57966178872377,False
LOG-970910 ,Bhubaneswar_DLF,5G,173.57966178872377,False
LOG-484681 ,Rourkela_Sector-5,5G,173.57966178872377,False
