Flight_ID,Airline_Name,Destinations_Hub,Delay_Minutes
FLI-9799,Air India,Kolkata_CCU,12
FLI-3283,Akasa Air,Bengaluru_BLR,12
FLI-8832,Vistara,Mumbai_BOM,12
FLI-5832,Akasa Air,Kolkata_CCU,12
FLI-1167,Indigo,Bengaluru_BLR,12
FLI-6237,Indigo,Bengaluru_BLR,26
FLI-9364,Indigo,Bengaluru_BLR,12
FLI-3875,Indigo,delhi_DEL,12
FLI-4446,Vistara,delhi_DEL,12
FLI-6686,Air India,delhi_DEL,12
FLI-5302,Air India,delhi_DEL,12
FLI-8867,Air India,Mumbai_BOM,12
FLI-3305,Air India,Kolkata_CCU,12
FLI-9971,Vistara,Mumbai_BOM,12
FLI-2662,Akasa Air,delhi_DEL,26
FLI-6969,Air India,delhi_DEL,12
FLI-2401,Indigo,delhi_DEL,12
FLI-2940,Indigo,Mumbai_BOM,12
FLI-6861,Indigo,delhi_DEL,12
FLI-1696,Air India,delhi_DEL,12
FLI-7440,Air India,delhi_DEL,12
FLI-3305,Air India,Mumbai_BOM,12
FLI-1490,Air India,Mumbai_BOM,12
FLI-5790,Akasa Air,Bengaluru_BLR,12
FLI-2459,Air India,Bengaluru_BLR,12
FLI-8475,Indigo,delhi_DEL,12
FLI-3688,Vistara,Kolkata_CCU,12
FLI-5060,Air India,Mumbai_BOM,12
FLI-6288,Vistara,Bengaluru_BLR,12
FLI-3853,Akasa Air,delhi_DEL,26
FLI-2027,Vistara,Bengaluru_BLR,26
FLI-7930,Indigo,Mumbai_BOM,26
FLI-9676,Indigo,Kolkata_CCU,12
FLI-2686,Indigo,delhi_DEL,12
FLI-5205,Vistara,Mumbai_BOM,-5
FLI-3367,Air India,Bengaluru_BLR,12
FLI-9398,Air India,Mumbai_BOM,12
FLI-5972,Indigo,Kolkata_CCU,26
FLI-1613,Indigo,Bengaluru_BLR,12
FLI-8569,Indigo,delhi_DEL,12
FLI-9674,Air India,Mumbai_BOM,12
FLI-6316,Air India,Bengaluru_BLR,12
FLI-5076,Indigo,Kolkata_CCU,12
FLI-2353,Air India,Mumbai_BOM,12
FLI-2816,Air India,Mumbai_BOM,12
FLI-3350,Vistara,delhi_DEL,26
FLI-1440,Indigo,Mumbai_BOM,12
FLI-9071,Air India,Kolkata_CCU,12
FLI-4127,Air India,Kolkata_CCU,12
FLI-5309,Indigo,delhi_DEL,12
FLI-4258,Vistara,Bengaluru_BLR,26
FLI-9979,Air India,Bengaluru_BLR,12
FLI-8476,Indigo,delhi_DEL,12
FLI-8746,Air India,Kolkata_CCU,12
FLI-9007,Air India,Mumbai_BOM,12
FLI-3630,Air India,Mumbai_BOM,12
FLI-5143,Air India,Mumbai_BOM,12
FLI-2410,Vistara,delhi_DEL,12
FLI-7270,Indigo,delhi_DEL,12
FLI-7840,Indigo,Mumbai_BOM,12
FLI-7881,Vistara,Mumbai_BOM,12
FLI-4265,Vistara,delhi_DEL,12
FLI-9751,Indigo,Bengaluru_BLR,26
FLI-1245,Indigo,Mumbai_BOM,12
FLI-6145,Akasa Air,delhi_DEL,12
FLI-2460,Indigo,delhi_DEL,12
FLI-9076,Akasa Air,Bengaluru_BLR,26
FLI-1621,Indigo,delhi_DEL,26
FLI-9320,Air India,delhi_DEL,12
FLI-1642,Air India,Bengaluru_BLR,26
FLI-4910,Air India,Mumbai_BOM,12
FLI-7291,Air India,delhi_DEL,12
FLI-5924,Indigo,delhi_DEL,12
FLI-5852,Indigo,Kolkata_CCU,12
FLI-6700,Air India,Bengaluru_BLR,26
FLI-9934,Vistara,Kolkata_CCU,26
FLI-7310,Indigo,delhi_DEL,12
FLI-5203,Indigo,delhi_DEL,12
FLI-5040,Indigo,Mumbai_BOM,12
FLI-7698,Air India,Mumbai_BOM,12
FLI-1411,Vistara,delhi_DEL,12
FLI-4033,Air India,delhi_DEL,12
